City,Sex,Strata,Age,Occupation,Education,Civic_Status,Home_Structure,Income_Level,TD1,TD2,TD3,TD4,Aut1,Aut2,Aut3,Aut4,Aut5,Aut6,Aut7
8,2,3,23,1,3,5,6,3,6,5,5,5,6,5,6,5,6,6,6
7,1,1,27,2,4,1,2,1,10,1,10,10,10,10,10,10,10,10,10
1,1,2,18,3,2,1,7,2,9,1,10,10,1,1,1,1,1,1,5
7,2,3,26,6,3,5,6,2,7,3,8,8,7,7,7,7,7,7,7
1,2,2,36,6,4,2,6,2,4,9,5,5,7,7,7,6,7,6,5
7,2,3,23,7,5,1,2,2,10,2,10,10,1,10,1,1,1,1,1
8,2,3,20,2,4,1,2,1,9,9,4,7,8,8,9,9,8,5,7
5,2,3,26,8,3,2,7,2,4,1,5,5,1,1,1,1,1,1,1
2,2,2,51,6,1,5,6,3,6,7,5,7,2,2,2,2,2,2,2
1,1,3,23,4,2,1,2,1,4,4,8,6,6,6,5,8,8,8,3
1,2,3,36,7,5,5,7,2,10,3,10,5,1,1,1,1,1,1,1
6,2,3,23,2,4,1,2,1,8,6,9,6,5,5,5,6,5,5,5
1,1,3,52,8,3,1,8,2,6,3,7,9,5,5,5,5,5,5,5
7,2,2,37,6,3,5,6,2,10,7,10,10,1,5,6,6,5,5,1
1,1,2,25,5,3,2,5,3,6,9,6,6,8,8,7,7,10,8,7
6,2,3,29,6,5,1,8,2,5,9,3,9,9,9,9,6,6,7,10
1,1,3,23,8,2,1,1,2,9,10,6,6,5,5,5,5,5,5,5
1,2,2,24,6,3,2,7,2,10,9,10,10,10,10,10,10,10,9,10
7,1,3,24,3,3,1,8,2,7,7,6,9,7,6,7,6,7,1,7
1,2,3,24,1,5,4,4,1,10,10,10,10,9,9,9,9,9,10,9
1,1,3,20,4,2,1,2,1,10,4,7,4,4,3,4,3,3,3,4
1,2,2,36,6,3,1,2,2,5,5,5,10,5,6,2,2,5,5,5
1,2,3,29,2,4,1,5,1,10,1,6,10,5,7,5,1,5,1,7
8,1,2,42,6,2,5,6,3,10,10,6,10,5,10,10,5,1,5,1
8,2,3,26,3,4,1,3,1,5,5,7,8,4,3,3,2,5,2,3
1,2,3,26,4,6,1,2,2,10,10,9,9,7,4,4,4,10,7,6
1,1,2,30,4,3,1,3,1,2,8,8,6,4,7,2,3,5,4,4
4,1,2,54,6,4,2,6,3,10,10,7,10,1,10,1,1,1,1,1
1,1,3,21,7,2,1,8,3,8,8,8,3,1,8,1,1,1,8,1
1,2,1,21,2,4,1,3,1,10,10,10,10,10,9,5,1,10,10,10
1,1,2,41,6,2,4,8,2,5,1,7,7,1,2,1,1,1,1,1
1,2,2,19,2,4,1,2,1,6,1,7,7,7,1,1,1,6,1,1
3,2,2,39,7,2,2,6,1,9,9,10,10,7,5,8,9,10,5,5
1,1,2,19,6,2,1,2,2,8,9,7,9,7,7,8,8,7,8,7
